CodOM;SIGLA OM
AGPARATI;Agência da Capitania dos Portos em Parati   
AGSJBARRA;Agência da Capitania dos Portos em São João da Barra
CPES;Capitania dos Portos do Espírito Santo    
CPRJ;Capitania dos Portos do Rio de Janeiro   
DELAREIS;Delegacia da Capitania dos Portos em Angra dos Reis 
DELCFRIO;Delegacia da Capitania dos Portos em Cabo Frio  
DELITACURUÇÁ;Delegacia da Capitania dos Portos em Itacuruçá   
DELMACAÉ;Delegacia da Capitania dos Portos em Macaé   
AGBJLP;Agência Fluvial de Bom Jesus da Lapa   
AGJUAZEIRO;Agência Fluvial de Juazeiro      
CFSF;Capitania Fluvial do São Francisco     
CPBA;Capitania dos Portos da Bahia     
CPSE;Capitania dos Portos de Sergipe     
DELILHEUS;Delegacia da Capitania dos Portos em Ilhéus   
DELPSEGURO;Delegacia da Capitania dos Portos em Porto Seguro  
AGBRAN;Agência da Capitania dos Portos em Areia Branca  
AGARACATI;Agência da Capitania dos Portos em Aracati   
AGCAMOCIM;Agência da Capitania dos Portos em Camocim   
AGPENEDO;Agência Fluvial de Penedo      
CPAL;Capitania dos Portos de Alagoas     
CPCE;Capitania dos Portos do Ceará     
CPPB;Capitania dos Portos da Paraíba     
CPPE;Capitania dos Portos de Pernambuco     
CPRN;Capitania dos Portos do Rio Grande do Norte  
AGIMPERATRIZ;Agência Fluvial de Imperatriz      
CFS;Capitania Fluvial de Santarém      
CPAOR;Capitania dos Portos da Amazônia Oriental    
CPAP;Capitania dos Portos do Amapá     
CPAP ;Capitania dos Portos do Amapá 
CPMA;Capitania dos Portos do Maranhão     
CPPI;Capitania dos Portos do Piauí     
AGTRAMANDAÍ;Agência da Capitania dos Portos em Tramandaí   
CFPA;Capitania Fluvial de Porto Alegre     
CPRS;Capitania dos Portos do Rio Grande do Sul  
CPSC;Capitania dos Portos de Santa Catarina    
DELITAJAI;Delegacia da Capitania dos Portos em Itajaí   
DELLAGUNA;Delegacia da Capitania dos Portos em Laguna   
DELSFSUL;Delegacia da Capitania dos Portos em São Francisco do Sul
DELURUGUAIANA;Delegacia Fluvial de Uruguaiana      
AGCÁCERES;Agência Fluvial de Cáceres      
AGPMURTINHO;Agência Fluvial de Porto Murtinho     
AGSFARAGUAIA;Agência Fluvial de São Felix do Araguaia   
CFPN;Capitania Fluvial do Pantanal      
DELCUIABÁ;Delegacia Fluvial de Cuiabá      
CFAT;Capitania Fluvial do Araguaia-Tocantins      
CFB;Capitania Fluvial de Brasília      
CFRP;Capitania Fluvial do Rio Paraná     
CFTP;Capitania Fluvial do Tietê-Paraná      
CPPR;Capitania dos Portos do Paraná     
CPSP;Capitania dos Portos de São Paulo    
DELGUAIRA;Delegacia Fluvial em Guaíra      
DELPEPITÁCIO;Delegacia Fluvial de Presidente Epitácio     
DELSSEBASTIÃO;Delegacia da Capitania dos Portos em São Sebastião  
AGBACRE;Agência Fluvial de Boca do Acre    
AGCSUL;Agência Fluvial de Cruzeiro do Sul    
AGEIRUNEPÉ;Agência Fluvial de Eirunepé      
AGHUMAITÁ;Agência Fluvial de Humaitá      
AGITACOATIARA;Agência Fluvial de Itacoatiara      
AGMIRIM;Agência Fluvial de Guajará-Mirim      
AGPARINTINS;Agência Fluvial de Parintins      
AGTEFÉ;Agência Fluvial de Tefé      
CFAOC;Capitania Fluvial da Amazônia Ocidental     
CFT;Capitania Fluvial de Tabatinga      
DELPVELHO;Delegacia Fluvial de Porto Velho     
AGACRE;Agência Fluvial de Boca do Acre
AGCACE;Agência Fluvial de Cáceres
AGCRAI;Agência Fluvial de Caracaraí
AGELIX;Agência Fluvial de São Felix do Araguaia
AGFCRS;Agência Fluvial de Cruzeiro do Sul
AGGMIRIM;Agência Fluvial de Guajará-Mirim
AGPARATY;Agência da Capitania dos Portos em Paraty
AGTEFE;Agência Fluvial de Tefé
CPPR;Capitania dos Portos do Paraná
CPSE;Capitania dos Portos de Sergipe
CPAL;Capitania dos Portos de Alagoas
CPPE;Capitania dos Portos de Pernambuco
CPFBRA;Capitania Fluvial de Brasília
CFRP;Capitania Fluvial do Rio Paraná
CPSC;Capitania dos Portos de Santa Catarina
CFTP;Capitania Fluvial do Tietê-Paraná
CPCE;Capitania dos Portos do Ceará
CPRS;Capitania dos Portos do Rio Grande do Sul
CPMA;Capitania dos Portos do Maranhão
CPRN;Capitania dos Portos do Rio Grande do Norte
CFAOC;Capitania Fluvial da Amazônia Ocidental
CPPI;Capitania dos Portos do Piauí
CFSF;Capitania Fluvial do São Francisco
CPRJ;Capitania dos Portos do Rio de Janeiro
CPBA;Capitania dos Portos da Bahia
CPSP;Capitania dos Portos de São Paulo
CPPB;Capitania dos Portos da Paraíba
CPAP;Capitania dos Portos do Amapá
CFPN;Capitania Fluvial do Pantanal
CPES;Capitania dos Portos do Espírito Santo
DELITAJAI;Delegacia da Capitania dos Portos em Itajaí
DELLAGUNA;Delegacia da Capitania dos Portos em Laguna 
DELAREIS;Delegacia da Capitania dos Portos em Angra dos Reis
DELCUIABA;Delegacia Fluvial de Cuiabá
DELGUAIRA;Delegacia Fluvial em Guaíra
DELILHEUS;Delegacia da Capitania dos Portos em Ilhéus
DELMACAE;Delegacia da Capitania dos Portos em Macaé
DELPEPITACIO;Delegacia Fluvial de Presidente Epitácio
DELPVELHO;Delegacia Fluvial de Porto Velho
DELITACURUÇA;Delegacia da Capitania dos Portos em Itacuruçá
DELSSEBASTIAO;Delegacia da Capitania dos Portos em São Sebastião
DELURUGUAIANA;Delegacia Fluvial de Uruguaiana
